title	type	url_slug	venue	date	location	talk_url	description
Deep Neural Network Potentials for CdS Clusters with Organic Ligands using Data from Density Functional Theory Calculations	Talk	talk-1	International Conference on Density-Functional Theory and Its Applications	2019-07-22	RAlicante, Spain	
Development and Application of Deep Neural Network Potentials using Data from Density Functional Theory Calculations	Talk	talk-2	Materials and Manufacturing Directorate	2019-05-03	Wright-Patterson Air Force Base, Ohio
